每日晋级数据 TOP100
2015-12-10 晋级数据 TOP100 女子组 (总票数: 275456)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 24 | 05255 |  2.1% ] 日向阿基德 - CodeGeass亡国的阿基德
[ 25 | 04750 |  1.9% ] 桃城武 - 新网球王子OVA vs Genius10
[ 26 | 03886 |  1.5% ] 来留主公人 - 魔物娘相伴的日常
[ 27 | 03735 |  1.5% ] 犬冢牙 - 火影忍者 疾风传

2015-12-07 晋级数据 TOP100 女子组 (总票数: 271009)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 20368 |  7.5% ] 赤城 - 舰队collection
[ 02 | 18121 |  6.7% ] 艾拉 - 可塑性记忆
[ 03 | 16225 |  6.0% ] 田所惠 - 食戟之灵
[ 04 | 15009 |  5.5% ] 薙切绘里奈 - 食戟之灵
[ 05 | 14788 |  5.5% ] 小野寺春 - 伪恋 第二季
[ 06 | 12735 |  4.7% ] 斧乃木余接 - 凭物语
[ 07 | 12131 |  4.5% ] 佐仓慈 - 学园孤岛
[ 08 | 10923 |  4.0% ] 柳生九兵卫 - 银魂°
[ 09 | 10241 |  3.8% ] 猿飞菖蒲 - 银魂°
[ 10 | 10121 |  3.7% ] 银仙(女版) - 银仙
[ 11 | 10101 |  3.7% ] 安原绘麻 - 白箱
[ 12 | 10071 |  3.7% ] 平冢静 - 我的青春恋爱物语果然有问题 第二季
[ 13 | 09495 |  3.5% ] 夏提雅·布拉德弗伦 - OVERLORD
[ 14 | 09362 |  3.5% ] 雾岛 - 舰队collection
[ 15 | 09245 |  3.4% ] 贝尔摩德 - 名侦探柯南
[ 16 | 07624 |  2.8% ] 吉田步美 - 名侦探柯南
[ 17 | 07595 |  2.8% ] 川内 - 舰队collection
[ 18 | 07553 |  2.8% ] 原村和 - 咲日和
[ 19 | 07504 |  2.8% ] 芙蕾米·斯皮德龙 - 六花的勇者
[ 20 | 07320 |  2.7% ] 登势婆婆 - 银魂°
[ 21 | 07312 |  2.7% ] 折原舞流 - 无头骑士异闻录×2 承
[ 22 | 06832 |  2.5% ] 土方十四郎(♀) - 银魂°
[ 23 | 06591 |  2.4% ] 姬木千冬 - 日常系的异能战斗
[ 24 | 06544 |  2.4% ] 尤娜 - 晨曦公主
[ 25 | 06206 |  2.3% ] 圣边琉璃 - 无头骑士异闻录×2 承
[ 26 | 05638 |  2.1% ] 伊波樱 - 境界的彼方 剧场版
[ 27 | 05354 |  2.0% ] 雷欧奈 - 斩·赤红之瞳

2015-12-07 晋级数据 TOP100 男子组 (总票数: 257211)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 20248 |  7.9% ] 山治 - 海贼王
[ 02 | 20107 |  7.8% ] 伏见猿比古 - K MISSING KINGS
[ 03 | 16836 |  6.5% ] 堀政行 - 月刊少女野崎君OVA
[ 04 | 14688 |  5.7% ] 奥间狸吉 - 没有黄段子存在的无聊世界
[ 05 | 13967 |  5.4% ] 结城梨斗 - ToLoveRu Darkness 2nd
[ 06 | 13739 |  5.3% ] 绫崎飒 - 旋风管家OAD
[ 07 | 11414 |  4.4% ] 亚尔斯兰 - 亚尔斯兰战记
[ 08 | 11147 |  4.3% ] 乌间惟臣 - 暗杀教室
[ 09 | 11080 |  4.3% ] 橘真琴 - Free! TV未放送
[ 10 | 11056 |  4.3% ] 格雷·佛尔帕斯塔 - 妖精的尾巴 第二季
[ 11 | 10420 |  4.1% ] 青峰大辉 - 黑子的篮球 第三季
[ 12 | 09681 |  3.8% ] 弗朗西斯·波诺弗瓦(法/国) - 黑塔利亚 第六季
[ 13 | 09417 |  3.7% ] 乙坂隼翼 - 夏洛特
[ 14 | 08653 |  3.4% ] 本场猛(崩巴) - 干物妹小埋
[ 15 | 08528 |  3.3% ] 千·威斯塔利亚 - 赤发白雪姬
[ 16 | 08087 |  3.1% ] 阿明·阿诺德 - 进击的巨人剧场版
[ 17 | 07355 |  2.9% ] 处女座沙加 - 圣斗士星矢 黄金魂
[ 18 | 06975 |  2.7% ] 佐井 - 火影忍者 疾风传
[ 19 | 06872 |  2.7% ] 诸葛岳人 - 监狱学园
[ 20 | 06400 |  2.5% ] 特兰克斯 - 龙珠改 魔人布欧篇
[ 21 | 05958 |  2.3% ] 风见雄二 - 灰色的果实
[ 22 | 05948 |  2.3% ] 影男 - 乱步奇谭 Game of Laplace
[ 23 | 05633 |  2.2% ] 黑羽盗一 - 魔术快斗1412
[ 24 | 04040 |  1.6% ] 大石秀一郎 - 新网球王子OVA vs Genius10
[ 25 | 03623 |  1.4% ] 早乙女与一 - 终结的炽天使
[ 26 | 03368 |  1.3% ] 世修 - 哆啦A梦
[ 27 | 01971 |  0.8% ] 杉野友人 - 暗杀教室

