角色票力排行榜 男子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
094: [ 2015-11-28 | 03 | 15574 ] 百夜米迦尔 - 终结的炽天使
095: [ 2015-11-27 | 04 | 15513 ] 日向秀树 - Angel Beats OVA
096: [ 2015-11-01 | 02 | 15483 ] 宗像礼司 - K MISSING KINGS
097: [ 2015-11-16 | 03 | 15481 ] 纪田正臣 - 无头骑士异闻录×2 承
098: [ 2015-11-30 | 03 | 15427 ] 日向宁次 - 火影忍者 疾风传
099: [ 2015-11-06 | 02 | 15366 ] 克劳斯·V·莱因赫兹 - 血界战线
100: [ 2015-11-04 | 02 | 15350 ] 安艺伦也 - 路人女主的养成方法
101: [ 2015-11-26 | 04 | 15218 ] 塔兹米 - 斩·赤红之瞳
102: [ 2015-11-27 | 05 | 15027 ] 黄濑凉太 - 黑子的篮球 第三季
103: [ 2015-11-14 | 02 | 15005 ] 津田隆利 - 妄想学生会OVA
104: [ 2015-11-03 | 03 | 14879 ] 鬼灯 - 鬼灯的冷彻OAD
105: [ 2015-11-04 | 03 | 14862 ] 可儿江西也 - 甘城光辉游乐园
106: [ 2015-10-31 | 03 | 14777 ] 高杉晋助 - 银魂°
107: [ 2015-11-05 | 02 | 14582 ] 神谷浩史 - 那就是声优
108: [ 2015-11-07 | 04 | 14552 ] 若松博隆 - 月刊少女野崎君OVA
109: [ 2015-11-21 | 05 | 14498 ] 八坂真寻 - 潜行吧奈亚子F
110: [ 2015-11-29 | 04 | 14428 ] 狡啮慎也 - 心理测量者剧场版
111: [ 2015-11-04 | 04 | 14410 ] 银古 - 虫师 续章
112: [ 2015-12-04 | 04 | 14377 ] 奥间狸吉 - 没有黄段子存在的无聊世界
113: [ 2015-11-22 | 05 | 14217 ] 十一 - 关于完全听不懂老公在说什么的事
114: [ 2015-11-21 | 06 | 14168 ] 刚田武(胖虎) - 哆啦A梦
115: [ 2015-11-23 | 03 | 14158 ] 长谷川泰三 - 银魂°
116: [ 2015-12-03 | 03 | 14130 ] 岸谷新罗 - 无头骑士异闻录×2 承
117: [ 2015-11-04 | 05 | 14113 ] 绫崎飒 - 旋风管家OAD
118: [ 2015-11-12 | 03 | 13991 ] 七濑遥 - Free! TV未放送
119: [ 2015-11-26 | 05 | 13945 ] 目暮十三 - 名侦探柯南
120: [ 2015-11-07 | 05 | 13877 ] 影男 - 乱步奇谭 Game of Laplace
121: [ 2015-11-12 | 04 | 13794 ] 小林 - 乱步奇谭 Game of Laplace
122: [ 2015-11-19 | 03 | 13791 ] 近藤勋 - 银魂°
123: [ 2015-11-06 | 03 | 13735 ] 宇智波带土 - 火影忍者 疾风传
124: [ 2015-11-14 | 03 | 13698 ] 巴卫 - 元气少女缘结神 第二季
125: [ 2015-11-03 | 04 | 13497 ] 间桐慎二 - Fate/stay night [UBW]
126: [ 2015-11-30 | 04 | 13276 ] 宇智波斑 - 火影忍者 疾风传
127: [ 2015-12-04 | 05 | 13188 ] 名濑博臣 - 境界的彼方 剧场版
128: [ 2015-11-11 | 03 | 12978 ] 尼古拉斯·布朗 - 黑街
129: [ 2015-11-21 | 07 | 12650 ] 松冈凛 - Free! TV未放送
130: [ 2015-12-03 | 04 | 12614 ] 乌索普 - 海贼王
131: [ 2015-11-16 | 04 | 12537 ] 亚尔斯兰 - 亚尔斯兰战记
132: [ 2015-11-07 | 06 | 12512 ] 犬冢牙 - 火影忍者 疾风传
133: [ 2015-11-28 | 04 | 12505 ] 孙悟饭 - 龙珠改 魔人布欧篇
