复活票力排行榜 男子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
099: [ 2015-11-15 | 06 | 06483 ] 山田龙 - 山田君与七个魔女
100: [ 2015-11-27 | 06 | 06090 ] 日向阿基德 - CodeGeass亡国的阿基德
101: [ 2015-12-01 | 06 | 06058 ] 大石秀一郎 - 新网球王子OVA vs Genius10
102: [ 2015-11-10 | 06 | 06031 ] 药师兜 - 火影忍者 疾风传
103: [ 2015-11-26 | 06 | 05645 ] 世修 - 哆啦A梦
104: [ 2015-11-01 | 05 | 05415 ] 路德维希·贝什米特 - 黑塔利亚 第六季
105: [ 2015-11-16 | 05 | 05398 ] 白羊座穆 - 圣斗士星矢 黄金魂
106: [ 2015-11-01 | 06 | 05382 ] 早乙女与一 - 终结的炽天使
107: [ 2015-11-12 | 06 | 05163 ] 杉野友人 - 暗杀教室
108: [ 2015-11-16 | 06 | 05157 ] 钢铁侠 - 天雷争霸 复仇者联盟
