惨遭淘汰排行榜 男子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
102: [ 2015-11-14 | 11 | 04750 ] 千叶龙之介 - 暗杀教室
103: [ 2015-11-05 | 09 | 04745 ] 加斯帕·维拉迪 - 高校龙中龙D×D BorN
104: [ 2015-11-20 | 10 | 04737 ] 矶贝悠马 - 暗杀教室
105: [ 2015-11-30 | 10 | 04714 ] 那尔撒斯 - 亚尔斯兰战记
106: [ 2015-10-31 | 10 | 04593 ] 鲁邦三世 - 鲁邦三世剧场版 次元大介的墓碑
107: [ 2015-11-07 | 14 | 04579 ] 坂木 - 宠物小精灵XY
108: [ 2015-11-30 | 11 | 04531 ] 有马贵将 - 东京食尸鬼【JACK】
109: [ 2015-11-04 | 10 | 04526 ] 千早群像 - 苍蓝钢铁的琶音DC
110: [ 2015-11-04 | 11 | 04501 ] 树濑望 - 关于完全听不懂老公在说什么的事
111: [ 2015-11-23 | 10 | 04498 ] 松冈正宗 - 青春×机关枪
112: [ 2015-11-24 | 10 | 04493 ] 和泉隼斗 - 老婆是学生会长
113: [ 2015-12-02 | 10 | 04445 ] 安室透 - 名侦探柯南
114: [ 2015-11-13 | 12 | 04435 ] 高瑟 - 七大罪
115: [ 2015-11-28 | 11 | 04431 ] 莱德 - 翠星的加尔刚蒂亚OVA
116: [ 2015-11-24 | 11 | 04412 ] 德里寇 - 黑街
117: [ 2015-11-28 | 12 | 04391 ] 猿飞菖蒲(♂) - 银魂°
118: [ 2015-11-02 | 11 | 04364 ] 东城步 - 银魂°
119: [ 2015-11-12 | 09 | 04334 ] 余市健彦 - 潜行吧奈亚子F
120: [ 2015-11-11 | 09 | 04333 ] 鹿矛围桐斗 - 心理测量者 第二季
121: [ 2015-11-19 | 09 | 04310 ] 柊深夜 - 终结的炽天使
122: [ 2015-11-03 | 10 | 04271 ] 地场卫 - 美少女战士Crystal
123: [ 2015-11-19 | 10 | 04260 ] 让·基尔希斯坦 - 进击的巨人剧场版
124: [ 2015-11-20 | 11 | 04241 ] 射手座艾俄洛斯 - 圣斗士星矢 黄金魂
125: [ 2015-10-31 | 11 | 04228 ] 季夏(白龙) - 晨曦公主
126: [ 2015-11-13 | 13 | 04226 ] 双子座撒加 - 圣斗士星矢 黄金魂
127: [ 2015-11-26 | 07 | 04172 ] 迪米乌哥斯 - OVERLORD
128: [ 2015-11-24 | 12 | 04154 ] 出木衫 - 哆啦A梦
129: [ 2015-11-13 | 14 | 04067 ] 汉斯·翰普缇 - 六花的勇者
130: [ 2015-11-12 | 10 | 04057 ] 双鱼座阿布罗狄 - 圣斗士星矢 黄金魂
131: [ 2015-11-03 | 11 | 04053 ] 月岛萤 - 排球少年剧场版
132: [ 2015-11-11 | 10 | 04037 ] 宇佐见秋彦 - 纯情罗曼史3
133: [ 2015-11-16 | 07 | 04035 ] 高桥美咲 - 纯情罗曼史3
134: [ 2015-11-25 | 11 | 03990 ] 马卡罗夫·朵勒阿 - 妖精的尾巴 第二季
135: [ 2015-11-14 | 12 | 03973 ] 欧比 - 赤发白雪姬
136: [ 2015-11-19 | 11 | 03962 ] 影山飞雄 - 排球少年剧场版
137: [ 2015-11-29 | 07 | 03933 ] 奇拉比 - 火影忍者 疾风传
138: [ 2015-11-08 | 10 | 03931 ] 多古·血槌 - 血界战线
139: [ 2015-12-04 | 09 | 03916 ] 幸村精市 - 新网球王子OVA vs Genius10
140: [ 2015-12-01 | 09 | 03894 ] 谷风长道 - 希德尼娅的骑士 第二季
141: [ 2015-11-26 | 08 | 03875 ] 乾贞治 - 新网球王子OVA vs Genius10
142: [ 2015-11-29 | 08 | 03840 ] 宫前剑 - 月刊少女野崎君OVA
143: [ 2015-11-22 | 11 | 03796 ] 丸井善二 - 食戟之灵
144: [ 2015-11-22 | 12 | 03789 ] 信乐 - 银仙
145: [ 2015-11-30 | 12 | 03749 ] 雨宫龙胆 - 噬神者
146: [ 2015-11-18 | 09 | 03700 ] 水瓶座卡妙 - 圣斗士星矢 黄金魂
147: [ 2015-11-04 | 12 | 03684 ] 佐田恭也 - 狼少女与黑王子
148: [ 2015-11-10 | 07 | 03683 ] 比鲁斯 - 龙珠·超
149: [ 2015-11-08 | 11 | 03646 ] 葛原金之助 - 无头骑士异闻录×2 承
150: [ 2015-11-30 | 13 | 03621 ] 河上万齐 - 银魂°
151: [ 2015-11-06 | 13 | 03614 ] 西谷夕 - 排球少年剧场版
152: [ 2015-11-28 | 13 | 03612 ] 马渕洸 - 青春之旅OAD
153: [ 2015-11-28 | 14 | 03602 ] 奇夫 - 亚尔斯兰战记
154: [ 2015-11-16 | 08 | 03600 ] 直继 - 记录的地平线 第二季
155: [ 2015-11-09 | 10 | 03598 ] 桐生一 - 日常系的异能战斗
156: [ 2015-11-20 | 12 | 03585 ] 黑沼青叶 - 无头骑士异闻录×2 承
157: [ 2015-12-04 | 10 | 03577 ] 高桥凉介 - 头文字D 新剧场版
158: [ 2015-11-28 | 15 | 03574 ] 油女志乃 - 火影忍者 疾风传
159: [ 2015-11-12 | 11 | 03558 ] 膝丸灯 - 火星异种
160: [ 2015-11-12 | 12 | 03555 ] 浪越 - 乱步奇谭 Game of Laplace
161: [ 2015-12-01 | 10 | 03514 ] 佐藤正男 - 蜡笔小新2014剧场版
162: [ 2015-11-02 | 12 | 03512 ] 椎叶水树 - 纯情罗曼史3
163: [ 2015-11-10 | 08 | 03509 ] 扎克 - 可塑性记忆
164: [ 2015-10-31 | 12 | 03487 ] 织斑一夏 - IS2 OVA 世界清洗篇
165: [ 2015-11-18 | 10 | 03479 ] 榊游矢 - 游戏王ARC-V
166: [ 2015-11-25 | 12 | 03472 ] 赛门·布里兹涅夫 - 无头骑士异闻录×2 承
167: [ 2015-11-21 | 12 | 03468 ] 灰村诸叶 - 圣剑使的禁咒咏唱
168: [ 2015-11-17 | 09 | 03458 ] 宗次郎·势田 - 记录的地平线 第二季
169: [ 2015-11-06 | 14 | 03458 ] 高桥启介 - 头文字D 新剧场版
170: [ 2015-11-13 | 15 | 03445 ] 龙崎怜 - Free! TV未放送
171: [ 2015-11-11 | 11 | 03440 ] 安堂丽治 - 监狱学园
172: [ 2015-11-07 | 15 | 03421 ] 菊池冬马 - 青春之旅OAD
173: [ 2015-11-08 | 12 | 03419 ] 六道轮回 - 境界之轮回
174: [ 2015-11-23 | 11 | 03417 ] 兰 - 斩·赤红之瞳
175: [ 2015-11-27 | 07 | 03409 ] 木场祐斗 - 高校龙中龙D×D BorN
176: [ 2015-12-04 | 11 | 03403 ] 蜘蛛侠 - 天雷争霸 复仇者联盟
177: [ 2015-12-04 | 12 | 03391 ] 伊月俊 - 黑子的篮球 第三季
178: [ 2015-11-17 | 10 | 03380 ] 木吉铁平 - 黑子的篮球 第三季
179: [ 2015-11-14 | 13 | 03346 ] 七野 - 夏洛特
180: [ 2015-12-01 | 11 | 03340 ] 冢本秀一 - 吹响！上低音号
181: [ 2015-11-10 | 09 | 03340 ] 荒木光太郎 - 电波教师
182: [ 2015-11-18 | 11 | 03317 ] 砂川诚 - 俺物语
183: [ 2015-12-02 | 11 | 03306 ] 圆谷光彦 - 名侦探柯南
184: [ 2015-11-23 | 12 | 03299 ] 笠松幸男 - 黑子的篮球 第三季
185: [ 2015-11-17 | 11 | 03291 ] 加贺美 - 乱步奇谭 Game of Laplace
186: [ 2015-11-23 | 13 | 03263 ] 界王神 - 龙珠改 魔人布欧篇
187: [ 2015-11-22 | 13 | 03235 ] 中森银三 - 魔术快斗1412
188: [ 2015-11-04 | 13 | 03225 ] 大野木 - 火影忍者 疾风传
189: [ 2015-11-01 | 08 | 03209 ] 菅原孝支 - 排球少年剧场版
190: [ 2015-12-01 | 12 | 03191 ] 和泉小太郎 - Hybrid Child
191: [ 2015-11-21 | 13 | 03189 ] 调酒师 - 电器街的漫画店
192: [ 2015-11-26 | 09 | 03180 ] 前泊 - 夏洛特
193: [ 2015-11-08 | 13 | 03169 ] 弦亚(青龙) - 晨曦公主
194: [ 2015-11-22 | 14 | 03163 ] 孤爪研磨 - 排球少年剧场版
195: [ 2015-11-11 | 12 | 03146 ] 游吾 - 游戏王ARC-V
196: [ 2015-12-03 | 12 | 03144 ] 真红·和泉 - DOG DAYS 第三季
197: [ 2015-11-05 | 10 | 03133 ] 查尔斯·格雷 - 黑执事 Book of Murder
198: [ 2015-11-14 | 14 | 03128 ] 彼方·英司 - 空战魔导士候补生的教官
199: [ 2015-11-28 | 16 | 03124 ] 六条千景 - 无头骑士异闻录×2 承
200: [ 2015-11-03 | 12 | 03113 ] 空闲游真 - 境界触发者
201: [ 2015-12-03 | 13 | 03111 ] 天秤座童虎 - 圣斗士星矢 黄金魂
202: [ 2015-12-01 | 13 | 03101 ] 德基姆 - 死亡游行
203: [ 2015-11-12 | 13 | 03100 ] 次元大介 - 鲁邦三世剧场版 次元大介的墓碑
204: [ 2015-11-03 | 13 | 03097 ] 卡缪 - 歌之王子殿下 第三季
205: [ 2015-11-10 | 10 | 03064 ] 游斗 - 游戏王ARC-V
206: [ 2015-11-29 | 09 | 03051 ] 苍叶 - 戏剧性谋杀 TV未放送
207: [ 2015-11-05 | 11 | 03039 ] 二宫时雨 - 御神乐学园组曲
208: [ 2015-11-01 | 09 | 03037 ] 木下诚一 - 白箱
209: [ 2015-11-27 | 08 | 03022 ] 濑名泉水 - 恋爱舞台OVA
210: [ 2015-11-11 | 13 | 02998 ] 三国 - 我家浴缸的二三事
211: [ 2015-10-31 | 13 | 02998 ] 岸谷森严 - 无头骑士异闻录×2 承
212: [ 2015-11-08 | 14 | 02990 ] 城崎 - 我们大家的河合庄
213: [ 2015-11-26 | 10 | 02971 ] 天蝎座米罗 - 圣斗士星矢 黄金魂
214: [ 2015-12-03 | 14 | 02949 ] 克拉斯提 - 记录的地平线 第二季
215: [ 2015-11-26 | 11 | 02936 ] 死侍 - 天雷争霸 复仇者联盟
216: [ 2015-11-26 | 12 | 02935 ] 伊丹耀司 - GATE奇幻自卫队
217: [ 2015-11-29 | 10 | 02925 ] 刚田猛男 - 俺物语
218: [ 2015-11-18 | 12 | 02888 ] 小金井慎二 - 黑子的篮球 第三季
219: [ 2015-12-04 | 13 | 02861 ] 根津让二 - 监狱学园
220: [ 2015-11-24 | 13 | 02837 ] 悠 - 晨曦公主
221: [ 2015-12-02 | 12 | 02826 ] 阿呆 - 蜡笔小新2014剧场版
222: [ 2015-11-08 | 15 | 02821 ] 观月初 - 新网球王子OVA vs Genius10
223: [ 2015-11-08 | 16 | 02787 ] 紫云院素良 - 游戏王ARC-V
224: [ 2015-12-01 | 14 | 02780 ] 米哈伊尔 - 黑街
225: [ 2015-11-29 | 11 | 02777 ] 小山力也 - 那就是声优
226: [ 2015-11-17 | 12 | 02776 ] 山田 - 关于完全听不懂老公在说什么的事
227: [ 2015-11-12 | 14 | 02768 ] 九头龙京摩 - 御神乐学园组曲
228: [ 2015-11-01 | 10 | 02765 ] 学院长 - 七人魔法使
229: [ 2015-11-15 | 07 | 02754 ] 忌布基 - ChaosDragon赤龙战役
230: [ 2015-11-22 | 15 | 02731 ] 伦迪浩斯 - 记录的地平线 第二季
231: [ 2015-11-03 | 14 | 02716 ] 后藤 - 寄生兽 生命的准则
232: [ 2015-11-15 | 08 | 02710 ] 阿道夫·莱因哈德 - 火星异种
233: [ 2015-12-05 | 13 | 02709 ] 四木春也 - 无头骑士异闻录×2 承
234: [ 2015-11-08 | 17 | 02707 ] 朝日奈弥 - 兄弟战争OVA
235: [ 2015-11-08 | 18 | 02704 ] 索玛·阿斯曼加达尔 - 黑执事 Book of Murder
236: [ 2015-11-03 | 15 | 02697 ] 降旗光树 - 黑子的篮球 第三季
237: [ 2015-11-13 | 16 | 02696 ] 藤原文太 - 头文字D 新剧场版
238: [ 2015-11-15 | 09 | 02692 ] 藤本高虎 - 青春×机关枪
239: [ 2015-11-12 | 15 | 02689 ] 风澄彻 - 枪神斯托拉塔斯
240: [ 2015-11-10 | 11 | 02643 ] 苏·哈克 - 晨曦公主
241: [ 2015-11-15 | 10 | 02640 ] 高卢·加雷特·德·罗瓦 - DOG DAYS 第三季
242: [ 2015-11-01 | 11 | 02632 ] 花濑薰 - 玉子市场 剧场版
243: [ 2015-11-05 | 12 | 02631 ] 渡草三郎 - 无头骑士异闻录×2 承
244: [ 2015-11-10 | 12 | 02628 ] 前原阳斗 - 暗杀教室
245: [ 2015-12-03 | 15 | 02625 ] 杰克·阿特拉斯 - 游戏王ARC-V
246: [ 2015-11-04 | 14 | 02614 ] 库利亚 - 戏剧性谋杀 TV未放送
247: [ 2015-11-16 | 09 | 02593 ] 笕京太郎 - 大图书馆的牧羊人
248: [ 2015-12-04 | 14 | 02573 ] 御子柴百太郎 - Free! TV未放送
249: [ 2015-11-04 | 15 | 02564 ] 山田桐生 - 迷糊餐厅 第三季
250: [ 2015-11-09 | 11 | 02560 ] 一之濑时矢 - 歌之王子殿下 第三季
251: [ 2015-11-13 | 17 | 02541 ] 盗贼山惠 - 如果折断她的旗OAD
252: [ 2015-11-03 | 16 | 02501 ] 鸣子章吉 - 飙速宅男 第二季
253: [ 2015-11-26 | 13 | 02498 ] 艾 - 火影忍者 疾风传
254: [ 2015-11-27 | 09 | 02496 ] 绿永将 - 青春×机关枪
255: [ 2015-11-28 | 17 | 02436 ] 翠郎 - 元气少女缘结神 第二季
256: [ 2015-11-10 | 13 | 02423 ] 波鲁斯 - 斩·赤红之瞳
257: [ 2015-12-02 | 13 | 02418 ] 耶拉姆 - 亚尔斯兰战记
258: [ 2015-11-18 | 13 | 02395 ] 雾仁(恶罗王) - 元气少女缘结神 第二季
259: [ 2015-11-06 | 15 | 02391 ] 大黑 - 甘城光辉游乐园
260: [ 2015-11-16 | 10 | 02387 ] 白石藏之介 - 新网球王子OVA vs Genius10
261: [ 2015-12-03 | 16 | 02381 ] 鉴纯一郎 - 电波教师
262: [ 2015-11-04 | 16 | 02376 ] 真田弦一郎 - 新网球王子OVA vs Genius10
263: [ 2015-11-16 | 11 | 02376 ] 鞍马 - 元气少女缘结神 第二季
264: [ 2015-11-18 | 14 | 02373 ] 矢雾诚二 - 无头骑士异闻录×2 承
265: [ 2015-11-07 | 16 | 02371 ] 皆城总士 - 苍穹之法芙娜EXODUS
266: [ 2015-11-03 | 17 | 02369 ] 马科斯·艾琳古拉德·加西亚 - 火星异种
267: [ 2015-11-17 | 13 | 02356 ] 御影 - 元气少女缘结神 第二季
268: [ 2015-11-07 | 17 | 02353 ] 冲田十三 - 宇宙战舰大和号2199 追忆的航海
269: [ 2015-11-26 | 14 | 02351 ] 塔斯克 - CROSSANGE 天使与龙的轮舞
270: [ 2015-11-15 | 11 | 02337 ] 圣川真斗 - 歌之王子殿下 第三季
271: [ 2015-11-09 | 12 | 02330 ] 镰本力夫 - K MISSING KINGS
272: [ 2015-11-03 | 18 | 02315 ] 天户岳 - 干支魂
273: [ 2015-11-11 | 14 | 02297 ] 叶月 - Hybrid Child
274: [ 2015-11-24 | 14 | 02297 ] 落合达也 - 白箱
275: [ 2015-11-17 | 14 | 02292 ] 月岛 - Hybrid Child
276: [ 2015-12-02 | 14 | 02290 ] 史蒂芬·A·斯塔菲斯 - 血界战线
277: [ 2015-11-23 | 14 | 02287 ] 摩羯座修罗 - 圣斗士星矢 黄金魂
278: [ 2015-12-02 | 15 | 02277 ] 约修亚 - Falcom学园SC
279: [ 2015-11-14 | 15 | 02253 ] 黑崎兰丸 - 歌之王子殿下 第三季
280: [ 2015-11-09 | 13 | 02240 ] 切原赤也 - 新网球王子OVA vs Genius10
281: [ 2015-12-03 | 17 | 02232 ] 濑川祐太 - 要听爸爸的话OAD
282: [ 2015-11-17 | 15 | 02230 ] 拉克斯·维尔特 - 终结的炽天使
283: [ 2015-11-05 | 13 | 02222 ] JOKER - 怪盗JOKER
284: [ 2015-11-10 | 14 | 02222 ] 柊暮人 - 终结的炽天使
285: [ 2015-11-08 | 19 | 02220 ] 经纪夫 - 黑白小姐 第二季
286: [ 2015-11-12 | 16 | 02214 ] 洛基 - 圣斗士星矢 黄金魂
287: [ 2015-12-03 | 18 | 02211 ] 薙切仙左卫门 - 食戟之灵
288: [ 2015-11-15 | 12 | 02205 ] 神宫寺莲 - 歌之王子殿下 第三季
289: [ 2015-11-07 | 18 | 02172 ] 杉江茂 - 白箱
290: [ 2015-11-10 | 15 | 02156 ] 樱田修 - 城下町的蒲公英
291: [ 2015-11-14 | 16 | 02155 ] 鬼灯水月 - 火影忍者 疾风传
292: [ 2015-11-26 | 15 | 02134 ] 雾羽渚 - 教室危机
293: [ 2015-11-18 | 15 | 02132 ] 河村隆 - 新网球王子OVA vs Genius10
294: [ 2015-11-28 | 18 | 02119 ] 克罗里·尤斯福德 - 终结的炽天使
295: [ 2015-11-24 | 15 | 02109 ] 重吾 - 火影忍者 疾风传
296: [ 2015-11-08 | 20 | 02107 ] 卷岛裕介 - 飙速宅男 第二季
297: [ 2015-12-03 | 19 | 02106 ] 监督 - 电器街的漫画店
298: [ 2015-11-28 | 19 | 02098 ] 美风蓝 - 歌之王子殿下 第三季
299: [ 2015-11-19 | 12 | 02094 ] 托鲁·亚裘拉 - 棺姬嘉依卡 第二季
300: [ 2015-11-24 | 16 | 02090 ] 瓦利 - 高校龙中龙D×D BorN
301: [ 2015-11-01 | 12 | 02080 ] 美国队长 - 天雷争霸 复仇者联盟
302: [ 2015-11-03 | 19 | 02078 ] X教授 - 天雷争霸 复仇者联盟
303: [ 2015-11-17 | 16 | 02075 ] 光秀 - 赤发白雪姬
304: [ 2015-12-01 | 15 | 02071 ] 制作人(赤羽根健治) - 偶像大师剧场版
305: [ 2015-11-22 | 16 | 02070 ] 高桥孝浩 - 纯情罗曼史3
306: [ 2015-11-30 | 14 | 02063 ] 物部悠 - 铳皇无尽的法夫纳
307: [ 2015-11-15 | 13 | 02060 ] 地纹明日汰 - 世界征服谋略之星OVA
308: [ 2015-11-10 | 16 | 02050 ] 樱井良 - 黑子的篮球 第三季
309: [ 2015-11-09 | 14 | 02044 ] 信·日向·夏英格 - CodeGeass亡国的阿基德
310: [ 2015-11-07 | 19 | 02036 ] 圆堂守 - 闪电十一人剧场版 超次元梦幻比赛
311: [ 2015-12-04 | 15 | 02020 ] 黑木智贵 - 丧女 TV未放送
312: [ 2015-11-04 | 17 | 02010 ] 朝日奈梓 - 兄弟战争OVA
313: [ 2015-11-08 | 21 | 01996 ] 福井健介 - 黑子的篮球 第三季
314: [ 2015-11-26 | 16 | 01993 ] 藤木浩太 - 噬神者
315: [ 2015-11-30 | 15 | 01991 ] 宇佐和成 - 我们大家的河合庄
