每日晋级数据 TOP8
2015-12-05 晋级数据 TOP8 女子组 (总票数: 129943)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 08 | 05157 |  5.7% ] 吉川千夏 - 摇曳百合OVA

2015-11-30 晋级数据 TOP8 男子组 (总票数: 99765)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 18393 | 18.4% ] 音无结弦 - Angel Beats OVA
[ 02 | 16506 | 16.5% ] 枢木朱雀 - CodeGeass亡国的阿基德
[ 03 | 15427 | 15.5% ] 日向宁次 - 火影忍者 疾风传
[ 04 | 13276 | 13.3% ] 宇智波斑 - 火影忍者 疾风传
[ 05 | 10722 | 10.7% ] 萨博 - 海贼王
[ 06 | 09757 |  9.8% ] 赤井秀一 - 名侦探柯南
[ 07 | 07951 |  8.0% ] 阿尔弗雷德·F·琼斯(美/国) - 黑塔利亚 第六季
[ 08 | 07733 |  7.8% ] 绝望王 - 血界战线

2015-11-29 晋级数据 TOP8 女子组 (总票数: 99681)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 29190 | 29.3% ] 日向雏田 - 火影忍者 疾风传
[ 02 | 18323 | 18.4% ] 高町奈叶 - 魔法少女奈叶ViVid
[ 03 | 12017 | 12.1% ] 绿川花 - 监狱学园
[ 04 | 09301 |  9.3% ] 高町薇薇欧 - 魔法少女奈叶ViVid
[ 05 | 09165 |  9.2% ] 圣边琉璃 - 无头骑士异闻录×2 承
[ 06 | 08229 |  8.3% ] 寺门通 - 银魂°
[ 07 | 06787 |  6.8% ] 莎拉·肖恩 - 夏洛特
[ 08 | 06669 |  6.7% ] 爱丽克斯·贝尼迪特 - 黑街

2015-11-29 晋级数据 TOP8 男子组 (总票数: 134068)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 38990 | 29.1% ] Archer - Fate/stay night [UBW]
[ 02 | 27702 | 20.7% ] 宇智波佐助 - 火影忍者 疾风传
[ 03 | 26096 | 19.5% ] 小智 - 宠物小精灵XY
[ 04 | 14428 | 10.8% ] 狡啮慎也 - 心理测量者剧场版
[ 05 | 09692 |  7.2% ] 本田菊(日/本) - 黑塔利亚 第六季
[ 06 | 09387 |  7.0% ] 乙坂隼翼 - 夏洛特
[ 07 | 03933 |  2.9% ] 奇拉比 - 火影忍者 疾风传
[ 08 | 03840 |  2.9% ] 宫前剑 - 月刊少女野崎君OVA

2015-11-28 晋级数据 TOP8 女子组 (总票数: 114781)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 24573 | 21.4% ] 桐崎千棘 - 伪恋 第二季
[ 02 | 23910 | 20.8% ] 赫斯缇雅 - 在地下城寻求邂逅是否搞错了什么
[ 03 | 19619 | 17.1% ] 加贺 - 舰队collection
[ 04 | 12146 | 10.6% ] 土方十四郎(♀) - 银魂°
[ 05 | 10110 |  8.8% ] 铃木园子 - 名侦探柯南
[ 06 | 09099 |  7.9% ] 米拉杰·斯特劳斯 - 妖精的尾巴 第二季
[ 07 | 08367 |  7.3% ] 大井 - 舰队collection
[ 08 | 06957 |  6.1% ] 黑白小姐 - 黑白小姐 第二季

2015-11-28 晋级数据 TOP8 男子组 (总票数: 111778)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 25477 | 22.8% ] 潮田渚 - 暗杀教室
[ 02 | 22103 | 19.8% ] 桂小太郎 - 银魂°
[ 03 | 15574 | 13.9% ] 百夜米迦尔 - 终结的炽天使
[ 04 | 12505 | 11.2% ] 孙悟饭 - 龙珠改 魔人布欧篇
[ 05 | 10780 |  9.6% ] 青峰大辉 - 黑子的篮球 第三季
[ 06 | 09834 |  8.8% ] 阿笠博士 - 名侦探柯南
[ 07 | 08768 |  7.8% ] 藤原拓海 - 头文字D 新剧场版
[ 08 | 06737 |  6.0% ] 门田京平 - 无头骑士异闻录×2 承

2015-11-27 晋级数据 TOP8 女子组 (总票数: 98444)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 20834 | 21.2% ] 千斗五十铃 - 甘城光辉游乐园
[ 02 | 16249 | 16.5% ] 晓 - 舰队collection
[ 03 | 15341 | 15.6% ] 雅儿贝德 - OVERLORD
[ 04 | 13429 | 13.6% ] 玛茵 - 斩·赤红之瞳
[ 05 | 12137 | 12.3% ] 园原杏里 - 无头骑士异闻录×2 承
[ 06 | 07269 |  7.4% ] 中森青子 - 魔术快斗1412
[ 07 | 07041 |  7.2% ] 近藤勋(♀) - 银魂°
[ 08 | 06144 |  6.2% ] 栗原千代 - 监狱学园

2015-11-27 晋级数据 TOP8 男子组 (总票数: 109971)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 26862 | 24.4% ] 冲田总悟 - 银魂°
[ 02 | 22677 | 20.6% ] 有马公生 - 四月是你的谎言
[ 03 | 17371 | 15.8% ] 特拉法尔加·D·瓦铁尔·罗 - 海贼王
[ 04 | 15513 | 14.1% ] 日向秀树 - Angel Beats OVA
[ 05 | 15027 | 13.7% ] 黄濑凉太 - 黑子的篮球 第三季
[ 06 | 06090 |  5.5% ] 日向阿基德 - CodeGeass亡国的阿基德
[ 07 | 03409 |  3.1% ] 木场祐斗 - 高校龙中龙D×D BorN
[ 08 | 03022 |  2.7% ] 濑名泉水 - 恋爱舞台OVA

2015-11-26 晋级数据 TOP8 女子组 (总票数: 120926)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 24025 | 19.9% ] 海老名菜菜 - 干物妹小埋
[ 02 | 23122 | 19.1% ] 由比浜结衣 - 我的青春恋爱物语果然有问题 第二季
