惨遭淘汰排行榜 女子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
096: [ 2015-10-31 | 09 | 05431 ] 希尔 - 斩·赤红之瞳
097: [ 2015-11-26 | 10 | 05402 ] 若菜羽衣 - 老婆是学生会长
098: [ 2015-11-16 | 07 | 05388 ] 宫内光华 - 悠哉日常大王 第二季
099: [ 2015-11-25 | 09 | 05382 ] 尤莉叶.西格托娜 - 绝对双刃
100: [ 2015-11-19 | 10 | 05370 ] 瓦罗娜 - 无头骑士异闻录×2 承
101: [ 2015-12-04 | 11 | 05347 ] 冲田纱羽 - TARI TARI OVA
102: [ 2015-11-30 | 07 | 05328 ] 吉野悠姬 - 食戟之灵
103: [ 2015-11-15 | 10 | 05312 ] 山田葵 - 迷糊餐厅 第三季
104: [ 2015-11-22 | 10 | 05296 ] 松冈江 - Free! TV未放送
105: [ 2015-11-16 | 08 | 05236 ] 成濑万理亚 - 新妹魔王的契约者
106: [ 2015-11-05 | 10 | 05213 ] 韩吉·佐耶 - 进击的巨人剧场版
107: [ 2015-11-11 | 08 | 05174 ] 若狭悠里 - 学园孤岛
108: [ 2015-11-30 | 08 | 05157 ] 吉川千夏 - 摇曳百合OVA
109: [ 2015-11-12 | 09 | 05072 ] 蓝猫 - 黑执事 Book of Murder
110: [ 2015-11-12 | 10 | 05034 ] 岛村卯月 - 偶像大师 灰姑娘女孩
111: [ 2015-11-28 | 10 | 05034 ] 野原向日葵(小葵) - 蜡笔小新2014剧场版
112: [ 2015-12-03 | 09 | 05032 ] 菲尔·尼尔巴连 - 游戏人生OVA
113: [ 2015-11-24 | 11 | 05031 ] 朱毕安·罗克丝 - 妖精的尾巴 第二季
114: [ 2015-11-23 | 07 | 05007 ] 鹤屋学姐 - 小长门有希的消失
115: [ 2015-12-05 | 11 | 04985 ] 河合律 - 我们大家的河合庄
116: [ 2015-11-10 | 09 | 04985 ] 米希奥蕾·F·比斯科迪 - DOG DAYS 第三季
117: [ 2015-11-02 | 10 | 04983 ] 穗波玉(小玉) - 樱桃小丸子 第二季
118: [ 2015-11-19 | 11 | 04836 ] 桃井五月 - 黑子的篮球 第三季
119: [ 2015-11-27 | 10 | 04798 ] 田中明日香 - 吹响！上低音号
120: [ 2015-11-15 | 11 | 04747 ] 三岛沙树 - 无头骑士异闻录×2 承
121: [ 2015-11-18 | 09 | 04722 ] 塞西莉娅·奥尔卡特 - IS2 OVA 世界清洗篇
122: [ 2015-11-01 | 07 | 04718 ] 狗神(女版) - 银仙
123: [ 2015-11-27 | 11 | 04660 ] 粟楠茜 - 无头骑士异闻录×2 承
124: [ 2015-11-05 | 11 | 04654 ] 爱丽丝·卡塔雷特 - 黄金拼图 第二季
125: [ 2015-11-11 | 09 | 04627 ] 缪丝 - 甘城光辉游乐园
126: [ 2015-12-04 | 12 | 04626 ] 玛利亚 - 纯洁的玛利亚
127: [ 2015-11-13 | 10 | 04599 ] 新堂彩华 - 境界的彼方 剧场版
128: [ 2015-11-28 | 11 | 04562 ] 艾丽奥诺拉·威尔塔利亚 - 魔弹之王与战姬
129: [ 2015-12-02 | 10 | 04528 ] 浅见莉莉斯 - 七人魔法使
130: [ 2015-11-29 | 10 | 04491 ] 琉·利昂 - 在地下城寻求邂逅是否搞错了什么
131: [ 2015-11-18 | 10 | 04483 ] 米娅 - 魔物娘相伴的日常
132: [ 2015-10-31 | 10 | 04459 ] 野原美伢 - 蜡笔小新2014剧场版
133: [ 2015-11-19 | 12 | 04459 ] 嘉依卡·托勒庞特 - 棺姬嘉依卡 第二季
134: [ 2015-11-16 | 09 | 04452 ] K·K - 血界战线
135: [ 2015-11-16 | 10 | 04422 ] 六合冢弥生 - 心理测量者 第二季
136: [ 2015-11-20 | 13 | 04421 ] 莉瑟罗特·沙尔洛克 - 七人魔法使
137: [ 2015-11-23 | 08 | 04419 ] 福路美穗子 - 咲日和
138: [ 2015-11-23 | 09 | 04400 ] 速水凛香 - 暗杀教室
139: [ 2015-11-10 | 10 | 04400 ] 雪染菊理 - K MISSING KINGS
140: [ 2015-11-17 | 12 | 04397 ] 川崎沙希 - 我的青春恋爱物语果然有问题 第二季
141: [ 2015-11-06 | 11 | 04385 ] 仓田唯 - 七人魔法使
142: [ 2015-11-11 | 10 | 04354 ] 野比玉子(大雄的妈妈) - 哆啦A梦
143: [ 2015-11-09 | 10 | 04354 ] 来岛又子 - 银魂°
144: [ 2015-11-28 | 12 | 04330 ] 栗原万里 - 监狱学园
145: [ 2015-11-04 | 09 | 04296 ] 大淀 - 舰队collection
146: [ 2015-11-24 | 12 | 04263 ] 艾瑟依拉姆·薇瑟·艾莉欧斯亚 - ALDNOAH ZERO 第二季
147: [ 2015-11-04 | 10 | 04255 ] 白石丽 - 山田君与七个魔女
148: [ 2015-11-12 | 11 | 04230 ] 水野亚美 - 美少女战士Crystal
149: [ 2015-11-30 | 09 | 04208 ] 都由香里 - 月刊少女野崎君OVA
150: [ 2015-11-10 | 11 | 04201 ] 香磷 - 火影忍者 疾风传
151: [ 2015-12-05 | 12 | 04174 ] 山崎退(♀) - 银魂°
152: [ 2015-11-09 | 11 | 04141 ] 高梨彩弓 - 日常系的异能战斗
153: [ 2015-11-17 | 13 | 04138 ] 钱·皇 - 血界战线
154: [ 2015-11-12 | 12 | 04133 ] 黑井濑奈 - 漫画家与助手们OVA
155: [ 2015-11-24 | 13 | 04130 ] 波岛出海 - 路人女主的养成方法
156: [ 2015-11-03 | 08 | 04114 ] 金刚 - 苍蓝钢铁的琶音DC
157: [ 2015-11-23 | 10 | 04108 ] 神无月爱琳 - 七人魔法使
158: [ 2015-11-18 | 11 | 04107 ] 水户郁魅 - 食戟之灵
159: [ 2015-11-09 | 12 | 04094 ] 松实宥 - 天才麻将少女 阿知贺篇SP
160: [ 2015-11-18 | 12 | 04064 ] 相座凪 - 四月是你的谎言
161: [ 2015-12-01 | 10 | 04060 ] 阿尼·利昂纳德 - 进击的巨人剧场版
162: [ 2015-11-04 | 11 | 04053 ] 玛丽亚 - 旋风管家OAD
163: [ 2015-11-27 | 12 | 04033 ] 樱杏子(小丸子的姐姐) - 樱桃小丸子 第二季
164: [ 2015-12-04 | 13 | 04022 ] 提亚悠·鲁娜提克 - ToLoveRu Darkness 2nd
165: [ 2015-12-05 | 13 | 04014 ] 琳丝蕾特·劳伦弗罗斯特 - 精灵使的剑舞OVA
166: [ 2015-11-16 | 11 | 03976 ] 东兔角 - 恶魔之谜 TV未放送
167: [ 2015-11-04 | 12 | 03966 ] 树濑理乃 - 关于完全听不懂老公在说什么的事
168: [ 2015-11-15 | 12 | 03961 ] 松实玄 - 天才麻将少女 阿知贺篇SP
169: [ 2015-11-07 | 14 | 03948 ] 常盘绿 - 玉子市场 剧场版
170: [ 2015-11-13 | 11 | 03937 ] 白崎鸫 - 大图书馆的牧羊人
171: [ 2015-11-07 | 15 | 03921 ] 中世古香织 - 吹响！上低音号
172: [ 2015-11-30 | 10 | 03910 ] 妮娜 - 黑街
173: [ 2015-11-12 | 13 | 03908 ] 加藤叶月 - 吹响！上低音号
174: [ 2015-11-08 | 09 | 03898 ] 娜洁希坦 - 斩·赤红之瞳
175: [ 2015-11-01 | 08 | 03892 ] 风见一姬 - 灰色的果实
176: [ 2015-12-03 | 10 | 03891 ] 田村玲子 - 寄生兽 生命的准则
177: [ 2015-11-17 | 14 | 03885 ] 古谷向日葵 - 摇曳百合OVA
178: [ 2015-11-10 | 12 | 03879 ] 宫内一穗 - 悠哉日常大王 第二季
179: [ 2015-11-15 | 13 | 03876 ] 老师 - 电器街的漫画店
180: [ 2015-11-28 | 13 | 03873 ] 绢岛满 - 可塑性记忆
181: [ 2015-11-23 | 11 | 03842 ] 神崎兰子 - 偶像大师 灰姑娘女孩
182: [ 2015-11-10 | 13 | 03806 ] 中村莉樱 - 暗杀教室
183: [ 2015-11-03 | 09 | 03774 ] 胖虎的妹妹 - 哆啦A梦
184: [ 2015-11-09 | 13 | 03735 ] 黑歌 - 高校龙中龙D×D BorN
185: [ 2015-11-03 | 10 | 03723 ] 亚乌菈·贝拉·菲欧拉 - OVERLORD
186: [ 2015-11-23 | 12 | 03722 ] 绀野葵 - 那就是声优
187: [ 2015-11-20 | 14 | 03705 ] 中川夏纪 - 吹响！上低音号
188: [ 2015-11-04 | 13 | 03702 ] 赫里斯塔·兰斯 - 进击的巨人剧场版
189: [ 2015-11-25 | 10 | 03702 ] 火野丽 - 美少女战士Crystal
190: [ 2015-11-13 | 12 | 03700 ] 木野真琴 - 美少女战士Crystal
191: [ 2015-11-01 | 09 | 03684 ] 艾丝·华伦斯坦 - 在地下城寻求邂逅是否搞错了什么
192: [ 2015-11-09 | 14 | 03683 ] 小笠原晴香 - 吹响！上低音号
193: [ 2015-11-18 | 13 | 03651 ] 露维亚瑟琳塔 - 魔法少女伊莉雅2wei Herz
194: [ 2015-12-05 | 14 | 03642 ] 牧野神奈 - 玉子市场 剧场版
195: [ 2015-11-17 | 15 | 03623 ] 仓桥阳菜乃 - 暗杀教室
196: [ 2015-11-17 | 16 | 03614 ] 凯瑟琳 - 银魂°
197: [ 2015-11-22 | 11 | 03612 ] 若菜美里 - 老婆是学生会长
198: [ 2015-11-29 | 11 | 03610 ] 小玉 - 银仙
199: [ 2015-12-01 | 11 | 03573 ] 世良真纯 - 名侦探柯南
200: [ 2015-12-01 | 12 | 03552 ] 桐生萌郁 - 命运石之门 聪明睿智的认知计算
201: [ 2015-12-03 | 11 | 03520 ] 萌咲莓 - 那就是声优
202: [ 2015-11-30 | 11 | 03513 ] 五十岚枫 - 妄想学生会OVA
203: [ 2015-11-14 | 09 | 03494 ] 奥田爱美 - 暗杀教室
204: [ 2015-11-28 | 14 | 03486 ] 影缝余弦 - 凭物语
205: [ 2015-11-01 | 10 | 03477 ] 池田千岁 - 摇曳百合OVA
206: [ 2015-11-29 | 12 | 03471 ] 安达映子 - 甘城光辉游乐园
207: [ 2015-11-15 | 14 | 03459 ] 巴泽特·弗拉加·马克雷密斯 - 魔法少女伊莉雅2wei Herz
208: [ 2015-11-11 | 11 | 03446 ] 黛安 - 七大罪
209: [ 2015-11-20 | 15 | 03415 ] 照美冥 - 火影忍者 疾风传
210: [ 2015-11-29 | 13 | 03391 ] 足须沙穗乃 - 漫画家与助手们OVA
211: [ 2015-11-07 | 16 | 03388 ] 张间美香 - 无头骑士异闻录×2 承
212: [ 2015-11-25 | 11 | 03376 ] 小敏感 - 没有黄段子存在的无聊世界
